stock_id,stock_name,asset_type,source_industry,primary_sector,confidence,reason
910069,新曄,DR,存託憑證,DIVERSIFIED_OTHER,LOW,新曄：TDR，業務內容需人工查證
9101,福雷電,DR,存託憑證,DIVERSIFIED_OTHER,LOW,福雷電：TDR，業務內容需人工查證
9102,東亞科,DR,存託憑證,DIVERSIFIED_OTHER,LOW,東亞科：TDR，業務內容需人工查證
9104,萬宇科,DR,存託憑證,DIVERSIFIED_OTHER,LOW,萬宇科：TDR，業務內容需人工查證
910482,聖馬丁-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,聖馬丁-DR：TDR，業務內容需人工查證
910579,歐聖,DR,存託憑證,DIVERSIFIED_OTHER,LOW,歐聖：TDR，業務內容需人工查證
9106,新焦點-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,新焦點-DR：TDR，業務內容需人工查證
910708,恒大健-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,恒大健-DR：TDR，業務內容需人工查證
910801,金衛-DR,DR,存託憑證,BIOTECH_MEDICAL,LOW,金衛-DR：TDR，業務內容需人工查證（暫依名稱推測為醫療相關）
910861,神州-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,神州-DR：TDR，業務內容需人工查證
910948,融達,DR,存託憑證,DIVERSIFIED_OTHER,LOW,融達：TDR，業務內容需人工查證
9110,越南控-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,越南控-DR：TDR，業務內容需人工查證
911201,僑威控,DR,存託憑證,DIVERSIFIED_OTHER,LOW,僑威控：TDR，業務內容需人工查證
911602,華豐泰,DR,存託憑證,DIVERSIFIED_OTHER,LOW,華豐泰：TDR，業務內容需人工查證
911606,超級,DR,存託憑證,DIVERSIFIED_OTHER,LOW,超級：TDR，業務內容需人工查證
911608,明輝-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,明輝-DR：TDR，業務內容需人工查證
911609,揚子江,DR,存託憑證,DIVERSIFIED_OTHER,LOW,揚子江：TDR，業務內容需人工查證
911610,聯環,DR,存託憑證,DIVERSIFIED_OTHER,LOW,聯環：TDR，業務內容需人工查證
911611,中泰山-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,中泰山-DR：TDR，業務內容需人工查證
911612,滬安,DR,存託憑證,DIVERSIFIED_OTHER,LOW,滬安：TDR，業務內容需人工查證
911616,杜康-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,杜康-DR：TDR，業務內容需人工查證
911619,耀傑-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,耀傑-DR：TDR，業務內容需人工查證
911622,泰聚亨-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,泰聚亨-DR：TDR，業務內容需人工查證
911626,MSH-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,MSH-DR：TDR，業務內容需人工查證
911868,同方友友-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,同方友友-DR：TDR，業務內容需人工查證
912000,晨訊科-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,晨訊科-DR：TDR，業務內容需人工查證
9188,精熙-DR,DR,存託憑證,DIVERSIFIED_OTHER,LOW,精熙-DR：TDR，業務內容需人工查證
9902,台火,COMMON_STOCK,其他,DIVERSIFIED_OTHER,LOW,台火：業務內容需人工查證
9905,大華,COMMON_STOCK,其他,RETAIL_TRADE,LOW,大華：業務內容需人工查證
9927,泰銘,COMMON_STOCK,其他,HOME_APPLIANCE_CONSUMER,LOW,泰銘：業務內容需人工查證
