stock_id,stock_name,asset_type,source_industry
2456,奇力新,COMMON_STOCK,電子零組件業
2463,研揚,COMMON_STOCK,電腦及週邊設備業
3009,奇美電,COMMON_STOCK,電子工業
3080,威力盟,COMMON_STOCK,電子工業
00650L,復華香港正2,ETF,ETF
2452,乾坤,COMMON_STOCK,電子工業
00651R,復華香港反1,ETF,ETF
00652,富邦印度,ETF,ETF
3367,英華達,COMMON_STOCK,其他電子業
3534,雷凌,COMMON_STOCK,電子工業
3584,介面,COMMON_STOCK,光電業
3598,奕力,COMMON_STOCK,半導體業
5280,F-敦泰,COMMON_STOCK,電子工業
4178,永笙-KY,COMMON_STOCK,再生醫療
4763,材料*-KY,COMMON_STOCK,化學工業
6862,三集瑞-KY,COMMON_STOCK,電子工業
6933,AMAX-KY,COMMON_STOCK,電腦及週邊設備業
2475,華映,COMMON_STOCK,光電業
2499,東貝,COMMON_STOCK,光電業
3561,昇陽光電,COMMON_STOCK,光電業
3599,旺能,COMMON_STOCK,電子工業
5264,鎧勝-KY,COMMON_STOCK,電腦及週邊設備業
5305,敦南,COMMON_STOCK,半導體業
7768,頌勝科技,COMMON_STOCK,半導體
00775B,台新投等債15+,ETF,ETF
00904,台新臺灣半導體30,ETF,ETF
7631,聚賢研發-創,COMMON_STOCK,平面顯示器
8112A,至上甲特,PREFERRED_STOCK,半導體
00653L,富邦印度正2,ETF,ETF
00654R,富邦印度反1,ETF,ETF
00655L,國泰中國A50正2,ETF,ETF
00656R,國泰中國A50反1,ETF,ETF
00657,國泰日經225,ETF,ETF
00657K,國泰日經225+U,ETF,ETF
00660,元大歐洲50,ETF,ETF
00661,元大日經225,ETF,ETF
00662,富邦NASDAQ,ETF,ETF
00663L,國泰臺灣加權正2,ETF,ETF
00664R,國泰臺灣加權反1,ETF,ETF
00665L,富邦恒生國企正2,ETF,ETF
00666R,富邦恒生國企反1,ETF,ETF
00668,國泰美國道瓊,ETF,ETF
00668K,國泰美國道瓊+U,ETF,ETF
00669R,國泰美國道瓊反1,ETF,ETF
00670L,富邦NASDAQ正2,ETF,ETF
00671R,富邦NASDAQ反1,ETF,ETF
00673R,期元大S&P原油反1,ETF,ETF
00674R,期元大S&P黃金反1,ETF,ETF
00675L,富邦臺灣加權正2,ETF,ETF
00676R,富邦臺灣加權反1,ETF,ETF
00678,群益那斯達克生技,ETF,ETF
00680L,元大美債20正2,ETF,ETF
00681R,元大美債20反1,ETF,ETF
00682U,期元大美元指數,ETF,ETF
00683L,期元大美元指正2,ETF,ETF
00684R,期元大美元指反1,ETF,ETF
00685L,群益臺灣加權正2,ETF,ETF
00686R,群益臺灣加權反1,ETF,ETF
00688L,國泰20年美債正2,ETF,ETF
00699R,元大美債7-10反1,ETF,ETF
00703,台新MSCI中國,ETF,ETF
00704L,台新MSCI台灣正2,ETF,ETF
00705R,台新MSCI台灣反1,ETF,ETF
00707R,期元大S&P日圓反1,ETF,ETF
00708L,期元大S&P黃金正2,ETF,ETF
00709,富邦歐洲,ETF,ETF
00710B,復華彭博非投等債,ETF,ETF
00711B,復華彭博新興債,ETF,ETF
00712,復華富時不動產,ETF,ETF
00713,元大台灣高息低波,ETF,ETF
00714,群益道瓊美國地產,ETF,ETF
00715L,期街口布蘭特正2,ETF,ETF
00716R,華頓S&P布蘭特反1,ETF,ETF
00717,富邦美國特別股,ETF,ETF
00728,第一金工業30,ETF,ETF
00730,富邦臺灣優質高息,ETF,ETF
00731,復華富時高息低波,ETF,ETF
00733,富邦臺灣中小,ETF,ETF
00735,國泰臺韓科技,ETF,ETF
00736,國泰新興市場,ETF,ETF
00737,國泰AI機器人,ETF,ETF
00738U,期元大道瓊白銀,ETF,ETF
00739,元大MSCI A股,ETF,ETF
00770,國泰北美科技,ETF,ETF
00771,元大US高息特別股,ETF,ETF
0080,恒中國,ETF,ETF
0081,恒香港,ETF,ETF
008201,BP上證50,ETF,ETF
00852L,國泰美國道瓊正2,ETF,ETF
00861,元大全球未來通訊,ETF,ETF
00865B,國泰US短期公債,ETF,ETF
00875,國泰網路資安,ETF,ETF
00876,元大全球5G,ETF,ETF
00878,國泰永續高股息,ETF,ETF
00881,國泰台灣科技龍頭,ETF,ETF
00882,中信中國高股息,ETF,ETF
00885,富邦越南,ETF,ETF
00891,中信關鍵半導體,ETF,ETF
00892,富邦台灣半導體,ETF,ETF
00893,國泰智能電動車,ETF,ETF
00894,中信小資高價30,ETF,ETF
00895,富邦未來車,ETF,ETF
00896,中信綠能及電動車,ETF,ETF
00897,富邦基因免疫生技,ETF,ETF
00898,國泰基因免疫革命,ETF,ETF
00899,FT潔淨能源,ETF,ETF
00900,富邦特選高股息30,ETF,ETF
00901,永豐智能車供應鏈,ETF,ETF
00902,中信電池及儲能,ETF,ETF
00903,富邦元宇宙,ETF,ETF
00905,FT臺灣Smart,ETF,ETF
00907,永豐優息存股,ETF,ETF
00908,富邦入息REITs+,ETF,ETF
00909,國泰數位支付服務,ETF,ETF
00910,第一金太空衛星,ETF,ETF
00911,兆豐洲際半導體,ETF,ETF
1101B,台泥乙特,PREFERRED_STOCK,水泥
4195,基米-創,COMMON_STOCK,醫療器材
1103,嘉泥,COMMON_STOCK,交通運輸及航運
00403A,主動統一升級50,ETF,ETF
7818,溢泰實業,COMMON_STOCK,其他
1201,味全,COMMON_STOCK,食品
1203,味王,COMMON_STOCK,食品
7803,雲象科技-創,COMMON_STOCK,人工智慧
4582,聚恆-創,COMMON_STOCK,電機機械
1227,佳格,COMMON_STOCK,食品
1231,聯華食,COMMON_STOCK,食品
7827,漢康-KY創,COMMON_STOCK,製藥
1236,宏亞,COMMON_STOCK,食品
1256,鮮活果汁-KY,COMMON_STOCK,食品
1312A,國喬特,PREFERRED_STOCK,石化及塑橡膠
00402A,主動安聯美國科技,ETF,ETF
00404A,主動聯博動能50,ETF,ETF
00405A,主動富邦台灣龍耀,ETF,ETF
00406A,主動中信台灣收益,ETF,ETF
009821,野村稀土關鍵資源,ETF,ETF
1522A,堤維西甲特,PREFERRED_STOCK,汽車
00407A,主動凱基台灣,ETF,ETF
009824,群益美國科技巨頭,ETF,ETF
8078,華寶,COMMON_STOCK,通信網路業
1710,東聯,COMMON_STOCK,紡織
3519,綠能,COMMON_STOCK,半導體業
6145,勁永,COMMON_STOCK,電子通路業
6863,永道-KY,COMMON_STOCK,電子工業
6921,嘉雨思-創,COMMON_STOCK,電子工業
00408A,主動第一金優股息,ETF,ETF
2391,合勤,COMMON_STOCK,電子工業
8008,建興電,COMMON_STOCK,電腦及週邊設備業
8199,廣鎵,COMMON_STOCK,電子工業
5236,凌陽創新,COMMON_STOCK,人工智慧
2002A,中鋼特,PREFERRED_STOCK,鋼鐵
2009,第一銅,COMMON_STOCK,鋼鐵
2208,台船,COMMON_STOCK,風力發電
2301,光寶科,COMMON_STOCK,雲端運算
2348A,海悅甲特,PREFERRED_STOCK,其他
2363,矽統,COMMON_STOCK,半導體
2415,錩新,COMMON_STOCK,鋼鐵
2421,建準,COMMON_STOCK,電機機械
2514,龍邦,COMMON_STOCK,建材營造
2601,益航,COMMON_STOCK,貿易百貨
2607,榮運,COMMON_STOCK,交通運輸及航運
2612,中航,COMMON_STOCK,交通運輸及航運
2616,山隆,COMMON_STOCK,交通運輸及航運
2836A,高雄銀甲特,PREFERRED_STOCK,金融
2838A,聯邦銀甲特,PREFERRED_STOCK,金融
2856,元富證,COMMON_STOCK,金融
2881A,富邦特,PREFERRED_STOCK,金融
2881B,富邦金乙特,PREFERRED_STOCK,金融
2881C,富邦金丙特,PREFERRED_STOCK,金融
2882A,國泰特,PREFERRED_STOCK,金融
2882B,國泰金乙特,PREFERRED_STOCK,金融
2883B,凱基金乙特,PREFERRED_STOCK,金融
2887C,新丙特,PREFERRED_STOCK,金融
2887E,台新新光戊特一,PREFERRED_STOCK,金融
2887F,台新新光戊特二,PREFERRED_STOCK,金融
2887G,台新新光庚特一,PREFERRED_STOCK,金融
2887H,台新新光庚特二,PREFERRED_STOCK,金融
2887I,台新新光辛特,PREFERRED_STOCK,金融
2887Z1,台新新光己特,COMMON_STOCK,金融
2888A,新光金甲特,PREFERRED_STOCK,金融
2888B,新光金乙特,PREFERRED_STOCK,金融
2891A,中信特,PREFERRED_STOCK,金融
2891B,中信金乙特,PREFERRED_STOCK,金融
2891C,中信金丙特,PREFERRED_STOCK,金融
2897A,王道銀甲特,PREFERRED_STOCK,金融
2897B,王道銀乙特,PREFERRED_STOCK,金融
2913,農林,COMMON_STOCK,貿易百貨
3036A,文曄甲特,PREFERRED_STOCK,半導體
3702A,大聯大甲特,PREFERRED_STOCK,半導體
2915,潤泰全,COMMON_STOCK,貿易百貨
4164,承業醫,COMMON_STOCK,醫療器材
4994,傳奇,COMMON_STOCK,休閒娛樂
5871A,中租-KY甲特,PREFERRED_STOCK,金融
6184,大豐電,COMMON_STOCK,文化創意業
6722,輝創,COMMON_STOCK,汽車
6754,匯僑設計,COMMON_STOCK,建材營造
00912,中信臺灣智慧50,ETF,ETF
009805,台新美國電力基建,ETF,ETF
6937,天虹,COMMON_STOCK,平面顯示器
6944,兆聯實業,COMMON_STOCK,其他
6958A,日盛台駿甲特,PREFERRED_STOCK,其他
7610,聯友金屬-創,COMMON_STOCK,其他
7721,微程式,COMMON_STOCK,電子商務
8367,建新國際,COMMON_STOCK,交通運輸及航運
8411,福貞-KY,COMMON_STOCK,鋼鐵
8462,柏文,COMMON_STOCK,休閒娛樂
8463,潤泰材,COMMON_STOCK,水泥
8481,政伸,COMMON_STOCK,休閒娛樂
9907,統一實,COMMON_STOCK,鋼鐵
9928,中視,COMMON_STOCK,文化創意業
9941A,裕融甲特,PREFERRED_STOCK,其他
9944,新麗,COMMON_STOCK,紡織
00913,兆豐台灣晶圓製造,ETF,ETF
00915,凱基優選高股息30,ETF,ETF
00916,國泰全球品牌50,ETF,ETF
00917,中信特選金融,ETF,ETF
00918,大華優利高填息30,ETF,ETF
00919,群益台灣精選高息,ETF,ETF
00920,富邦ESG綠色電力,ETF,ETF
00921,兆豐龍頭等權重,ETF,ETF
00922,國泰台灣領袖50,ETF,ETF
00923,群益台ESG低碳50,ETF,ETF
00925,新光標普電動車,ETF,ETF
00944,野村趨勢動能高息,ETF,ETF
00945B,凱基美國非投等債,ETF,ETF
00946,群益科技高息成長,ETF,ETF
00947,台新臺灣IC設計,ETF,ETF
00949,復華日本龍頭,ETF,ETF
00951,台新日本半導體,ETF,ETF
00952,凱基台灣AI50,ETF,ETF
00953B,群益優選非投等債,ETF,ETF
00954,中信日本半導體,ETF,ETF
00956,中信日經高股息,ETF,ETF
00964,中信亞太高股息,ETF,ETF
00965,元大航太防衛科技,ETF,ETF
00971,野村美國研發龍頭,ETF,ETF
00972,野村日本動能高息,ETF,ETF
009800,中信NASDAQ,ETF,ETF
009801,中信美國創新科技,ETF,ETF
009802,富邦旗艦50,ETF,ETF
009803,玉山市值動能50,ETF,ETF
009804,聯邦台精彩50,ETF,ETF
009808,華南永昌優選50,ETF,ETF
009809,富邦淨零ESG50,ETF,ETF
00980A,主動野村臺灣優選,ETF,ETF
009810,玉山全球藍籌100,ETF,ETF
009811,統一美國50,ETF,ETF
009812,野村日本東證,ETF,ETF
009813,貝萊德標普卓越50,ETF,ETF
009816,凱基台灣TOP50,ETF,ETF
009817,國泰日本不動產,ETF,ETF
009818,華南永昌NASDAQxT,ETF,ETF
00981A,主動統一台股增長,ETF,ETF
00981T,平衡凱基雙核收息,ETF,ETF
00982A,主動群益台灣強棒,ETF,ETF
00982D,主動富邦動態入息,ETF,ETF
00982T,平衡兆豐台美動能,ETF,ETF
00983A,主動中信ARK創新,ETF,ETF
00983D,主動富邦複合收益,ETF,ETF
00984A,主動安聯台灣高息,ETF,ETF
00984D,主動聯博全球非投,ETF,ETF
00985A,主動野村台灣50,ETF,ETF
00985B,群益ESG投等債0-5,ETF,ETF
00986A,主動台新龍頭成長,ETF,ETF
00987A,主動台新優勢成長,ETF,ETF
00988A,主動統一全球創新,ETF,ETF
00989A,主動摩根美國科技,ETF,ETF
00990A,主動元大AI新經濟,ETF,ETF
00991A,主動復華未來50,ETF,ETF
00992A,主動群益科技創新,ETF,ETF
00993A,主動安聯台灣,ETF,ETF
00994A,主動第一金台股優,ETF,ETF
00995A,主動中信台灣卓越,ETF,ETF
00996A,主動兆豐台灣豐收,ETF,ETF
020000,富邦特選蘋果N,ETN,ETN
020011,統一微波高息20N,ETN,ETN
020012,富邦行動通訊N,ETN,ETN
020015,統一MSCI美低波N,ETN,ETN
020016,統一MSCI美科技N,ETN,ETN
020018,統一價值成長30N,ETN,ETN
020019,統一特選台灣5GN,ETN,ETN
02001L,富邦蘋果正二N,ETN,ETN
02001R,富邦蘋果反一N,ETN,ETN
02001S,策元大加權策略N,ETN,ETN
020020,元大台股領航N,ETN,ETN
020028,元大特選電動車N,ETN,ETN
020029,元大ESG高股息N,ETN,ETN
1102,亞泥,COMMON_STOCK,風力發電
1104,環泥,COMMON_STOCK,水泥
1108,幸福,COMMON_STOCK,水泥
1109,信大,COMMON_STOCK,水泥
1216,統一,COMMON_STOCK,食品
1217,愛之味,COMMON_STOCK,食品
1218,泰山,COMMON_STOCK,食品
1219,福壽,COMMON_STOCK,食品
1220,台榮,COMMON_STOCK,貿易百貨
1225,福懋油,COMMON_STOCK,食品
1230,聯成食,COMMON_STOCK,電器電纜
1232,大統益,COMMON_STOCK,食品
1233,天仁,COMMON_STOCK,食品
1234,黑松,COMMON_STOCK,食品
1262,綠悅-KY,COMMON_STOCK,其他
1301,台塑,COMMON_STOCK,紡織
1303,南亞,COMMON_STOCK,電機機械
1305,華夏,COMMON_STOCK,石化及塑橡膠
1307,三芳,COMMON_STOCK,石化及塑橡膠
1308,亞聚,COMMON_STOCK,石化及塑橡膠
1309,台達化,COMMON_STOCK,石化及塑橡膠
1310,台苯,COMMON_STOCK,石化及塑橡膠
1311,福聚,COMMON_STOCK,塑膠工業
1312,國喬,COMMON_STOCK,石化及塑橡膠
1313,聯成,COMMON_STOCK,石化及塑橡膠
1314,中石化,COMMON_STOCK,紡織
1315,達新,COMMON_STOCK,電機機械
1316,上曜,COMMON_STOCK,石化及塑橡膠
1319,東陽,COMMON_STOCK,汽車
1321,大洋,COMMON_STOCK,石化及塑橡膠
1323,永裕,COMMON_STOCK,石化及塑橡膠
1324,地球,COMMON_STOCK,石化及塑橡膠
1325,恆大,COMMON_STOCK,石化及塑橡膠
1326,台化,COMMON_STOCK,紡織
1337,再生-KY,COMMON_STOCK,石化及塑橡膠
1338,廣華-KY,COMMON_STOCK,汽車
1339,昭輝,COMMON_STOCK,石化及塑橡膠
1340,勝悅-KY,COMMON_STOCK,石化及塑橡膠
1341,富林-KY,COMMON_STOCK,塑膠工業
1342,八貫,COMMON_STOCK,其他
1402,遠東新,COMMON_STOCK,紡織
1409,新纖,COMMON_STOCK,紡織
1410,南染,COMMON_STOCK,紡織
1413,宏洲,COMMON_STOCK,紡織
1414,東和,COMMON_STOCK,紡織
1416,廣豐,COMMON_STOCK,軟體服務
1417,嘉裕,COMMON_STOCK,紡織
6585,鼎基,COMMON_STOCK,石化及塑橡膠
1418,東華,COMMON_STOCK,紡織
1419,新紡,COMMON_STOCK,貿易百貨
1423,利華,COMMON_STOCK,紡織
1434,福懋,COMMON_STOCK,紡織
1435,中福,COMMON_STOCK,其他
1436,華友聯,COMMON_STOCK,建材營造
1437,勤益控,COMMON_STOCK,其他
1438,三地開發,COMMON_STOCK,建材營造
1440,南紡,COMMON_STOCK,紡織
1441,大東,COMMON_STOCK,紡織
1442,名軒,COMMON_STOCK,建材營造
1444,力麗,COMMON_STOCK,紡織
1445,大宇,COMMON_STOCK,紡織
1446,宏和,COMMON_STOCK,紡織
1447,力鵬,COMMON_STOCK,紡織
1449,佳和,COMMON_STOCK,紡織
1451,年興,COMMON_STOCK,紡織
1452,宏益,COMMON_STOCK,紡織
1454,台富,COMMON_STOCK,紡織
1455,集盛,COMMON_STOCK,紡織
1457,宜進,COMMON_STOCK,紡織
1459,聯發,COMMON_STOCK,紡織
1460,宏遠,COMMON_STOCK,紡織
1463,強盛新,COMMON_STOCK,紡織
1469,理隆,COMMON_STOCK,紡織纖維
1507,永大,COMMON_STOCK,電機機械
1513,中興電,COMMON_STOCK,智慧電網
1514,亞力,COMMON_STOCK,風力發電
1519,華城,COMMON_STOCK,智慧電網
1528,恩德,COMMON_STOCK,貿易百貨
1529,樂事綠能,COMMON_STOCK,電機機械
1532,勤美,COMMON_STOCK,貿易百貨
1536,和大,COMMON_STOCK,電動車輛產業
1537,廣隆,COMMON_STOCK,電機機械
1563,巧新,COMMON_STOCK,汽車
1589,永冠-KY,COMMON_STOCK,風力發電
1590,亞德客-KY,COMMON_STOCK,電機機械
1592,英瑞-KY,COMMON_STOCK,汽車工業
1601,台光,COMMON_STOCK,電器電纜
1606,歌林,COMMON_STOCK,電器電纜
1608,華榮,COMMON_STOCK,其他
1611,中電,COMMON_STOCK,電動車輛產業
1612,宏泰,COMMON_STOCK,智慧電網
1613,台一,COMMON_STOCK,電器電纜
1614,三洋電,COMMON_STOCK,平面顯示器
1615,大山,COMMON_STOCK,智慧電網
1616,億泰,COMMON_STOCK,其他
1617,榮星,COMMON_STOCK,連接器
1618,合機,COMMON_STOCK,智慧電網
1623,大東電,COMMON_STOCK,智慧電網
1626,艾美特-KY,COMMON_STOCK,其他
1702,南僑,COMMON_STOCK,食品
1707,葡萄王,COMMON_STOCK,食品生技
1708,東鹼,COMMON_STOCK,其他
1709,和益,COMMON_STOCK,石化及塑橡膠
1711,永光,COMMON_STOCK,石化及塑橡膠
1712,興農,COMMON_STOCK,石化及塑橡膠
1713,國化,COMMON_STOCK,紡織
1714,和桐,COMMON_STOCK,石化及塑橡膠
1715,萬洲,COMMON_STOCK,塑膠工業
1717,長興,COMMON_STOCK,印刷電路板
1718,中纖,COMMON_STOCK,其他
1720,生達,COMMON_STOCK,食品生技
1721,三晃,COMMON_STOCK,石化及塑橡膠
1722,台肥,COMMON_STOCK,其他
1723,中碳,COMMON_STOCK,電動車輛產業
1725,元禎,COMMON_STOCK,石化及塑橡膠
1727,中華化,COMMON_STOCK,石化及塑橡膠
1730,花仙子,COMMON_STOCK,貿易百貨
1731,美吾華,COMMON_STOCK,製藥
1733,五鼎,COMMON_STOCK,醫療器材
1735,日勝化,COMMON_STOCK,石化及塑橡膠
1737,臺鹽,COMMON_STOCK,食品
1760,寶齡富錦,COMMON_STOCK,醫療器材
1773,勝一,COMMON_STOCK,石化及塑橡膠
1776,展宇,COMMON_STOCK,石化及塑橡膠
1809,中釉,COMMON_STOCK,建材營造
1902,台紙,COMMON_STOCK,造紙工業
1904,正隆,COMMON_STOCK,造紙
1905,華紙,COMMON_STOCK,造紙
1907,永豐餘,COMMON_STOCK,造紙
2006,東和鋼鐵,COMMON_STOCK,鋼鐵
2007,燁興,COMMON_STOCK,鋼鐵
1701,中化,COMMON_STOCK,生技醫療業
2008,高興昌,COMMON_STOCK,鋼鐵
2010,春源,COMMON_STOCK,鋼鐵
2012,春雨,COMMON_STOCK,鋼鐵
2013,中鋼構,COMMON_STOCK,風力發電
2014,中鴻,COMMON_STOCK,鋼鐵
2015,豐興,COMMON_STOCK,鋼鐵
2017,官田鋼,COMMON_STOCK,鋼鐵
2020,美亞,COMMON_STOCK,鋼鐵
2022,聚亨,COMMON_STOCK,鋼鐵
2024,志聯,COMMON_STOCK,鋼鐵
2029,盛餘,COMMON_STOCK,鋼鐵
2031,新光鋼,COMMON_STOCK,風力發電
2033,佳大,COMMON_STOCK,鋼鐵
2038,海光,COMMON_STOCK,鋼鐵
2072,世紀風電,COMMON_STOCK,風力發電
2102,泰豐,COMMON_STOCK,汽車
2105,正新,COMMON_STOCK,石化及塑橡膠
2106,建大,COMMON_STOCK,運動科技
2107,厚生,COMMON_STOCK,石化及塑橡膠
2108,南帝,COMMON_STOCK,石化及塑橡膠
2109,華豐,COMMON_STOCK,石化及塑橡膠
2114,鑫永銓,COMMON_STOCK,石化及塑橡膠
2115,六暉-KY,COMMON_STOCK,石化及塑橡膠
2201,裕隆,COMMON_STOCK,汽車
2204,中華,COMMON_STOCK,汽車
2206,三陽工業,COMMON_STOCK,汽車
2207,和泰車,COMMON_STOCK,電動車輛產業
2211,長榮鋼,COMMON_STOCK,鋼鐵
2236,百達-KY,COMMON_STOCK,汽車工業
2243,宏旭-KY,COMMON_STOCK,汽車工業
2248,華勝-KY,COMMON_STOCK,汽車
2250,IKKA-KY,COMMON_STOCK,汽車工業
2258,鴻華先進-創,COMMON_STOCK,創新版股票
2308,台達電,COMMON_STOCK,智慧電網
2312,金寶,COMMON_STOCK,電腦及週邊設備
2313,華通,COMMON_STOCK,印刷電路板
2314,台揚,COMMON_STOCK,通信網路
2316,楠梓電,COMMON_STOCK,印刷電路板
2317,鴻海,COMMON_STOCK,電腦及週邊設備
2321,東訊,COMMON_STOCK,通信網路
2323,中環,COMMON_STOCK,電腦及週邊設備
2324,仁寶,COMMON_STOCK,平面顯示器
2327,國巨*,COMMON_STOCK,被動元件
2331,精英,COMMON_STOCK,電腦及週邊設備
2351,順德,COMMON_STOCK,鋼鐵
2352,佳世達,COMMON_STOCK,醫療器材
2353,宏碁,COMMON_STOCK,電腦及週邊設備
2356,英業達,COMMON_STOCK,電腦及週邊設備
2357,華碩,COMMON_STOCK,電腦及週邊設備
2358,廷鑫,COMMON_STOCK,其他
2359,所羅門,COMMON_STOCK,其他
2360,致茂,COMMON_STOCK,智慧電網
2362,藍天,COMMON_STOCK,電腦及週邊設備
2364,倫飛,COMMON_STOCK,電腦及週邊設備
2365,昆盈,COMMON_STOCK,電腦及週邊設備
2367,燿華,COMMON_STOCK,印刷電路板
2368,金像電,COMMON_STOCK,印刷電路板
2369,菱生,COMMON_STOCK,半導體
2371,大同,COMMON_STOCK,智慧電網
2373,震旦行,COMMON_STOCK,其他
2374,佳能,COMMON_STOCK,電腦及週邊設備
2375,凱美,COMMON_STOCK,被動元件
2376,技嘉,COMMON_STOCK,電腦及週邊設備
2377,微星,COMMON_STOCK,電腦及週邊設備
2379,瑞昱,COMMON_STOCK,半導體
2380,虹光,COMMON_STOCK,電腦及週邊設備
2382,廣達,COMMON_STOCK,雲端運算
2383,台光電,COMMON_STOCK,印刷電路板
2385,群光,COMMON_STOCK,電腦及週邊設備
2387,精元,COMMON_STOCK,電腦及週邊設備
2388,威盛,COMMON_STOCK,人工智慧
2390,云辰,COMMON_STOCK,大數據
2392,正崴,COMMON_STOCK,電腦及週邊設備
2393,億光,COMMON_STOCK,平面顯示器
2395,研華,COMMON_STOCK,雲端運算
2311,日月光,COMMON_STOCK,半導體業
2381,華宇,COMMON_STOCK,電腦及週邊設備業
2325,矽品,COMMON_STOCK,半導體業
2397,友通,COMMON_STOCK,通信網路
2399,映泰,COMMON_STOCK,區塊鏈
2401,凌陽,COMMON_STOCK,半導體
2402,毅嘉,COMMON_STOCK,印刷電路板
2404,漢唐,COMMON_STOCK,其他
2405,輔信,COMMON_STOCK,電腦及週邊設備
2406,國碩,COMMON_STOCK,太陽能產業
2408,南亞科,COMMON_STOCK,半導體
2409,友達,COMMON_STOCK,平面顯示器
2412,中華電,COMMON_STOCK,通信網路
2413,環科,COMMON_STOCK,電腦及週邊設備
2414,精技,COMMON_STOCK,其他
2417,圓剛,COMMON_STOCK,電腦及週邊設備
2419,仲琦,COMMON_STOCK,通信網路
2420,新巨,COMMON_STOCK,電腦及週邊設備
2423,固緯,COMMON_STOCK,其他
2425,承啟,COMMON_STOCK,電腦及週邊設備
2426,鼎元,COMMON_STOCK,電腦及週邊設備
2427,三商電,COMMON_STOCK,觸控面板
2428,興勤,COMMON_STOCK,被動元件
2430,燦坤,COMMON_STOCK,貿易百貨
2431,聯昌,COMMON_STOCK,電腦及週邊設備
2432,倚天,COMMON_STOCK,通信網路業
2433,互盛電,COMMON_STOCK,其他
2434,統懋,COMMON_STOCK,太陽能產業
2436,偉詮電,COMMON_STOCK,半導體
2438,翔耀,COMMON_STOCK,LED照明產業
2439,美律,COMMON_STOCK,能源元件
2440,太空梭,COMMON_STOCK,電腦及週邊設備
2441,超豐,COMMON_STOCK,半導體
2442,新美齊,COMMON_STOCK,建材營造
2443,昶虹,COMMON_STOCK,其他
2444,兆勁,COMMON_STOCK,電腦及週邊設備
2449,京元電子,COMMON_STOCK,半導體
2450,神腦,COMMON_STOCK,通信網路
2451,創見,COMMON_STOCK,電腦及週邊設備
2453,凌群,COMMON_STOCK,大數據
2454,聯發科,COMMON_STOCK,半導體
2455,全新,COMMON_STOCK,半導體
2459,敦吉,COMMON_STOCK,智慧電網
2479,和立,COMMON_STOCK,電子工業
2480,敦陽科,COMMON_STOCK,大數據
2481,強茂,COMMON_STOCK,半導體
2482,連宇,COMMON_STOCK,其他
2483,百容,COMMON_STOCK,醫療器材
2484,希華,COMMON_STOCK,被動元件
2485,兆赫,COMMON_STOCK,平面顯示器
2486,一詮,COMMON_STOCK,平面顯示器
2488,漢平,COMMON_STOCK,其他
2489,瑞軒,COMMON_STOCK,平面顯示器
2491,吉祥全,COMMON_STOCK,LED照明產業
2492,華新科,COMMON_STOCK,被動元件
2493,揚博,COMMON_STOCK,印刷電路板
2495,普安,COMMON_STOCK,大數據
2498,宏達電,COMMON_STOCK,體驗科技
2511,太子,COMMON_STOCK,建材營造
2515,中工,COMMON_STOCK,建材營造
2526,大陸,COMMON_STOCK,建材營造
2527,宏璟,COMMON_STOCK,建材營造
2535,達欣工,COMMON_STOCK,建材營造
